3 4 5				2+1 2(2*1)              
5 12 13			3+2 2(3*2)
7 24 25				4+3 2(4*3)
8 15 17				5+3 5*3
9 40 41				5+4 2(5*4)
11 60 61				6+5 2(6*5)
12 35 37				7+5 7*5
13 84 85				7+6 2(7*6)
15 112 113				8+7 2(8*7)
16 63 65				9+7 9*7
17 144 145				9+8 2(9*8)
19 180 181				10+9 2(10*9)
20 21 29				2(7+3) 7*3 
20 99 101				11+9 11*9
21 220 221				11+10 2(11*10)
23 264 265				12+11 2(12*11)
24 143 145				13+11 13*11
25 312 313				13+12 2(13*12)
27 364 365				14+13 2(14*13)
28 45 53				2(9+5) 9*5
28 195 197				15+13 15*13
29 420 421			15+14 2(15*14)	
31 480 481			16+15 2(16*15)	
32 255 257			17+15 17*15	
33 56 65				3(7+4) 2(7*4)
33 544 545			17+16 2(17*16)	

48 55 73				
36 77 85				
39 80 89				
65 72 97				
60 91 109				
44 117 125				
88 105 137				
51 140 149				
85 132 157				
119 120 169				
52 165 173				
57 176 185				
104 153 185				
95 168 193				
84 187 205				
133 156 205				
140 171 221				
60 221 229				
105 208 233				
120 209 241				
96 247 265				
69 260 269				
115 252 277				
160 231 281				
161 240 289				
68 285 293				
136 273 305				
207 224 305				
75 308 317				
36 323 325				
204 253 325				
175 288 337				
180 299 349				
225 272 353				
76 357 365				
252 275 373				
135 352 377				
152 345 377				
189 340 389				
228 325 397				
40 399 401				
120 391 409				
87 416 425				
297 304 425				
145 408 433				
84 437 445				
203 396 445				
280 351 449				
168 425 457				
261 380 461				
319 360 481				
44 483 485				
93 476 485				
132 475 493				
155 468 493				
217 456 505				
336 377 505				
220 459 509				
279 440 521				
92 525 533				
308 435 533				
341 420 541				
184 513 545				
165 532 557				
276 493 565				
396 403 565				
231 520 569				
48 575 577				
368 465 593				
240 551 601				
35 612 613				
105 608 617				
336 527 625				
100 621 629				
429 460 629				
200 609 641				
315 572 653				
300 589 661				
385 552 673				
52 675 677				
37 684 685				
156 667 685				
111 680 689				
400 561 689				
185 672 697				
455 528 697				
260 651 701				
259 660 709				
333 644 725				
364 627 725				
108 725 733				
216 713 745				
407 624 745				
468 595 757				
39 760 761				
481 600 769				
195 748 773				
56 783 785				
273 736 785				
168 775 793				
432 665 793				
555 572 797				
280 759 809				
429 700 821				
540 629 829				
41 840 841				
116 837 845				
123 836 845				
205 828 853				
232 825 857				
287 816 865				
504 703 865				
348 805 877				
369 800 881				
60 899 901				
451 780 901				
464 777 905				
616 663 905				
43 924 925				
533 756 925				
129 920 929				
215 912 937				
580 741 941				
301 900 949				
420 851 949				
615 728 953				
124 957 965				
387 884 965				
248 945 977				
473 864 985				
696 697 985				
372 925 997				
559 840 1009				
45 1012 1013				
660 779 1021				
64 1023 1025				
496 897 1025				
192 1015 1033				
315 988 1037				
645 812 1037				
320 999 1049				
620 861 1061				
731 780 1069				
448 975 1073				
495 952 1073				
132 1085 1093				
585 928 1097				
47 1104 1105				
264 1073 1105				
576 943 1105				
744 817 1105				
141 1100 1109				
